Drama,1037847,Dead Man,10/05/1996,Johnny Depp
Drama,832910,The Crossing Guard,16/11/1995,Jack Nicholson
Drama,2038450,Crash: Extraños placeres,21/03/1997,James Spader
Action,36049108,Set It Off,06/11/1996,Jada Pinkett Smith
Comedy,23687907,Good Burger,25/07/1997,Kel Mitchell
Drama,339648,Welcome to Sarajevo,26/11/1997,Stephen Dillane
Comedy,17105219,Rushmore,19/02/1999,Jason Schwartzman
Comedy,11883495,Sliding Doors,01/05/1998,Gwyneth Paltrow
Drama,259127,The Legend of 1900,21/01/2000,Tim Roth
Comedy,34102780,The Best Man,22/10/1999,Taye Diggs
Crime,3193102,The Limey,04/08/1999,Terence Stamp
Mystery,25544867,Memento,25/05/2001,Guy Pearce
Comedy,4681503,Igby Goes Down,04/10/2002,Kieran Culkin
Drama,121756,All or Nothing,16/05/2003,Timothy Spall
Adventure,18225165,Harold & Kumar Go to White Castle,30/07/2004,John Cho
Comedy,18761993,The Upside of Anger,01/04/2005,Joan Allen
Horror,23086480,Stay Alive,24/03/2006,Jon Foster
Horror,16235293,Black Christmas,25/12/2006,Michelle Trachtenberg
Comedy,8579684,Death at a Funeral,07/09/2007,Matthew Macfadyen
Comedy,31487293,Nick and Norah's Infinite Playlist,03/10/2008,Michael Cera
Comedy,27696,The Hottie & the Nottie,21/02/2008,Paris Hilton
Comedy,4881867,Hamlet 2,27/08/2008,Steve Coogan
Action,6263670,All Is Lost,07/11/2013,Robert Redford
Action,71962800,12 horas para sobrevivir,18/07/2014,Frank Grillo
Horror,138141585,Split,20/01/2017,James McAvoy
Comedy,14260193,The Edge of Seventeen,18/11/2016,Hailee Steinfeld
Biography,13958679,Jackie,02/12/2016,Natalie Portman
Horror,34904885,Ouija: Origin of Evil,21/10/2016,Elizabeth Reaser
Biography,7696098,Loving,04/11/2016,Ruth Negga
Action,16270600,Supercop,26/07/1996,Jackie Chan
Horror,6980986,Children of the Corn II: The Final Sacrifice,29/01/1993,Terence Knox
Comedy,8556940,Leprechaun,08/01/1993,Warwick Davis
Crime,381186,The Quiet,25/08/2006,Camilla Belle
Horror,100659,The House of the Devil,04/05/2012,Jocelin Donahue
Biography,16097842,Fruitvale Station,26/07/2013,Michael B. Jordan
Comedy,9093856,Meet the Blacks,01/04/2016,Mike Epps
Drama,6739492,Amour,20/09/2012,Jean-Louis Trintignant
Drama,24475416,Sling Blade,14/03/1997,Billy Bob Thornton
Biography,61649911,Cinderella Man,03/06/2005,Russell Crowe
Adventure,37916267,The Brothers Grimm,26/08/2005,Matt Damon
Action,78747585,Pixels,24/07/2015,Adam Sandler
Adventure,174635000,Crocodile Dundee,26/09/1986,Paul Hogan
Crime,165092268,Hannibal,09/02/2001,Anthony Hopkins
Drama,120277854,Seabiscuit,25/07/2003,Tobey Maguire
Action,4865912,Band of the Hand,11/04/1986,Stephen Lang
Animation,5501616,A Scanner Darkly,28/07/2006,Keanu Reeves
Action,42868348,The Devil's Own,26/03/1997,Harrison Ford
Animation,15132763,Arthur and the Invisibles,12/01/2007,Freddie Highmore
Comedy,4992159,Club Dread,27/02/2004,Jay Chandrasekhar
Crime,14377198,Awake,30/11/2007,Hayden Christensen
Action,50016394,Last Action Hero,18/06/1993,Arnold Schwarzenegger
Animation,99046791,Hercules,27/06/1997,Tate Donovan
Action,172956409,Air Force One,25/07/1997,Harrison Ford
Comedy,28659604,Fathers' Day,09/05/1997,Robin Williams
Drama,55485043,What Dreams May Come,02/10/1998,Robin Williams
Comedy,34545030,Jack Frost,11/12/1998,Michael Keaton
Adventure,14276317,The Messenger: The Story of Joan of Arc,12/11/1999,Milla Jovovich
Comedy,39464775,Little Nicky,10/11/2000,Adam Sandler
Adventure,66957026,102 Dalmatians,22/11/2000,Glenn Close
Crime,183405771,Ocean's Eleven,07/12/2001,George Clooney
Action,40077257,Collateral Damage,08/02/2002,Arnold Schwarzenegger
Action,38082712,Showtime,15/03/2002,Robert De Niro
